PageURL,TableHeader
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/resignation_procedures,Date of layoff
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/resignation_procedures,Progress
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/resignation_procedures,Status
http://localhost:8080/oshaiger-bgsoft/admin/hr_profile/resignation_procedures,Options
http://localhost:8080/oshaiger-bgsoft/admin/shipment/shipping_status_manage,Sl.No.
http://localhost:8080/oshaiger-bgsoft/admin/shipment/shipping_status_manage,Date
http://localhost:8080/oshaiger-bgsoft/admin/shipment/shipping_status_manage,Ref No.
http://localhost:8080/oshaiger-bgsoft/admin/shipment/shipping_status_manage,Commercial Invoice
http://localhost:8080/oshaiger-bgsoft/admin/shipment/shipping_status_manage,Forwarder
http://localhost:8080/oshaiger-bgsoft/admin/shipment/shipping_status_manage,No. of pallets
http://localhost:8080/oshaiger-bgsoft/admin/shipment/shipping_status_manage,No. of carton
http://localhost:8080/oshaiger-bgsoft/admin/shipment/shipping_status_manage,Mode
http://localhost:8080/oshaiger-bgsoft/admin/shipment/shipping_status_manage,Invoice Amt.
http://localhost:8080/oshaiger-bgsoft/admin/shipment/shipping_status_manage,Fright
http://localhost:8080/oshaiger-bgsoft/admin/shipment/shipping_status_manage,Bayan
http://localhost:8080/oshaiger-bgsoft/admin/shipment/shipping_status_manage,Delivery
http://localhost:8080/oshaiger-bgsoft/admin/shipment/shipping_status_manage,Port Handling
http://localhost:8080/oshaiger-bgsoft/admin/shipment/shipping_status_manage,Legalization
http://localhost:8080/oshaiger-bgsoft/admin/shipment/shipping_status_manage,Penalty
http://localhost:8080/oshaiger-bgsoft/admin/shipment/shipping_status_manage,Bl exchange
http://localhost:8080/oshaiger-bgsoft/admin/shipment/shipping_status_manage,Transportation
http://localhost:8080/oshaiger-bgsoft/admin/shipment/shipping_status_manage,Third Party
http://localhost:8080/oshaiger-bgsoft/admin/shipment/shipping_status_manage,Basic Service
http://localhost:8080/oshaiger-bgsoft/admin/shipment/shipping_status_manage,MOFA
http://localhost:8080/oshaiger-bgsoft/admin/shipment/shipping_status_manage,Other
http://localhost:8080/oshaiger-bgsoft/admin/shipment/shipping_status_manage,Total
http://localhost:8080/oshaiger-bgsoft/admin/expenses,Category
http://localhost:8080/oshaiger-bgsoft/admin/expenses,Amount
http://localhost:8080/oshaiger-bgsoft/admin/expenses,Name
http://localhost:8080/oshaiger-bgsoft/admin/expenses,Receipt
http://localhost:8080/oshaiger-bgsoft/admin/expenses,Date
http://localhost:8080/oshaiger-bgsoft/admin/expenses,Project
http://localhost:8080/oshaiger-bgsoft/admin/expenses,Customer
http://localhost:8080/oshaiger-bgsoft/admin/expenses,Invoice
http://localhost:8080/oshaiger-bgsoft/admin/expenses,Reference #
http://localhost:8080/oshaiger-bgsoft/admin/expenses,Payment Mode
